Winner,Team 1 Side,Team 1 Pick Order,Team 1 Pick 1,Team 1 Pick 2,Team 1 Pick 3,Team 1 Pick 4,Team 1 Pick 5,Team 1 Name,Team 2 Name,Team 2 Pick 1,Team 2 Pick 2,Team 2 Pick 3,Team 2 Pick 4,Team 2 Pick 5,Team 2 Side,Team 2 Pick Order,Stage
1,Dire,1st Pick,Vengeful Spirit,Legion Commander,Keeper of the Light,Medusa,Ogre Magi,Wings / Team Random,iG Vitality,Magnus,Riki,Witch Doctor,Phantom Assassin,Invoker,Radiant,2nd Pick,Kiev Major
1,Radiant,2nd Pick,Dazzle,Ember Spirit,Earthshaker,Brewmaster,Troll Warlord,Wings / Team Random,iG Vitality,Treant Protector,Vengeful Spirit,Centaur Warrunner,Warlock,Shadow Fiend,Dire,1st Pick,Kiev Major
1,Dire,1st Pick,Warlock,Tusk,Centaur Warrunner,Lycan,Invoker,Team Secret,Vici Gaming J,Legion Commander,Silencer,Earth Spirit,Lina,Lifestealer,Radiant,2nd Pick,Kiev Major
1,Radiant,2nd Pick,Abaddon,Bounty Hunter,Io,Shadow Fiend,Chaos Knight,Team Secret,Vici Gaming J,Crystal Maiden,Omniknight,Ember Spirit,Luna,Vengeful Spirit,Dire,1st Pick,Kiev Major
1,Radiant,2nd Pick,Treant Protector,Enigma,Vengeful Spirit,Terrorblade,Dragon Knight,OG,SG e-sports,Monkey King,Rubick,Centaur Warrunner,Invoker,Faceless Void,Dire,1st Pick,Kiev Major
2,Dire,1st Pick,Monkey King,Enigma,Disruptor,Naga Siren,Outworld Devourer,OG,SG e-sports,Treant Protector,Legion Commander,Ember Spirit,Silencer,Morphling,Radiant,2nd Pick,Kiev Major
1,Radiant,2nd Pick,Monkey King,Batrider,Shadow Shaman,Arc Warden,Faceless Void,OG,SG e-sports,Clockwerk,Crystal Maiden,Enigma,Slark,Puck,Dire,1st Pick,Kiev Major
1,Dire,1st Pick,Legion Commander,Vengeful Spirit,Earth Spirit,Lina,Weaver,Invictus Gaming,Mousesports,Dazzle,Lifestealer,Outworld Devourer,Winter Wyvern,Batrider,Radiant,2nd Pick,Kiev Major
1,Dire,1st Pick,Legion Commander,Vengeful Spirit,Riki,Ember Spirit,Phoenix,Invictus Gaming,Mousesports,Monkey King,Keeper of the Light,Axe,Outworld Devourer,Troll Warlord,Radiant,2nd Pick,Kiev Major
1,Dire,1st Pick,Treant Protector,Naga Siren,Disruptor,Axe,Invoker,OG,Wings / Team Random,Ember Spirit,Dazzle,Earthshaker,Troll Warlord,Broodmother,Radiant,2nd Pick,Kiev Major
2,Radiant,2nd Pick,Clockwerk,Warlock,Shadow Demon,Abaddon,Kunkka,OG,Wings / Team Random,Monkey King,Crystal Maiden,Batrider,Morphling,Lina,Dire,1st Pick,Kiev Major
1,Dire,1st Pick,Monkey King,Puck,Naga Siren,Disruptor,Templar Assassin,OG,Wings / Team Random,Vengeful Spirit,Legion Commander,Warlock,Lion,Medusa,Radiant,2nd Pick,Kiev Major
1,Radiant,2nd Pick,Monkey King,Legion Commander,Spectre,Warlock,Ember Spirit,Digital Chaos,Liquid,Crystal Maiden,Clockwerk,Lina,Naga Siren,Riki,Dire,1st Pick,Kiev Major
2,Dire,1st Pick,Monkey King,Abaddon,Vengeful Spirit,Shadow Fiend,Witch Doctor,Digital Chaos,Liquid,Crystal Maiden,Doom,Earthshaker,Spectre,Tinker,Radiant,2nd Pick,Kiev Major
1,Radiant,2nd Pick,Monkey King,Abaddon,Crystal Maiden,Dragon Knight,Weaver,Digital Chaos,Liquid,Earthshaker,Invoker,Warlock,Clockwerk,Razor,Dire,1st Pick,Kiev Major
1,Radiant,2nd Pick,Warlock,Legion Commander,Earth Spirit,Invoker,Sven,OG,Ad Finem,Rubick,Mirana,Nyx Assassin,Lifestealer,Templar Assassin,Dire,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Dire,1st Pick,Shadow Demon,Mirana,Juggernaut,Dragon Knight,Nyx Assassin,OG,Ad Finem,Luna,Rubick,Earthshaker,Puck,Legion Commander,Radiant,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Radiant,1st Pick,Batrider,Drow Ranger,Dazzle,Dragon Knight,Slardar,OG,Ad Finem,Nyx Assassin,Rubick,Bounty Hunter,Phantom Assassin,Outworld Devourer,Dire,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Radiant,2nd Pick,Luna,Warlock,Outworld Devourer,Earth Spirit,Legion Commander,OG,Ad Finem,Shadow Demon,Clockwerk,Puck,Drow Ranger,Weaver,Dire,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Dire,1st Pick,Rubick,Juggernaut,Tidehunter,Windranger,Earth Spirit,Digital Chaos,Ad Finem,Bounty Hunter,Nyx Assassin,Ogre Magi,Sniper,Timbersaw,Radiant,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Radiant,2nd Pick,Batrider,Warlock,Undying,Dragon Knight,Morphling,Digital Chaos,Ad Finem,Rubick,Nyx Assassin,Lifestealer,Timbersaw,Enigma,Dire,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Dire,2nd Pick,Ogre Magi,Ursa,Rubick,Morphling,Clockwerk,Evil Geniuses,OG,Dark Seer,Alchemist,Slardar,Dazzle,Outworld Devourer,Radiant,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Radiant,2nd Pick,Shadow Demon,Mirana,Nyx Assassin,Luna,Leshrac,Evil Geniuses,OG,Naga Siren,Keeper of the Light,Clockwerk,Rubick,Dragon Knight,Dire,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Radiant,2nd Pick,Nyx Assassin,Rubick,Lifestealer,Mirana,Outworld Devourer,Ad Finem,LGD.Forever Young,Batrider,Silencer,Ursa,Alchemist,Sand King,Dire,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Radiant,2nd Pick,Ogre Magi,Dark Seer,Weaver,Alchemist,Warlock,Ad Finem,LGD.Forever Young,Bounty Hunter,Batrider,Disruptor,Timbersaw,Terrorblade,Dire,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Radiant,1st Pick,Io,Batrider,Clockwerk,Puck,Morphling,Ad Finem,LGD.Forever Young,Sand King,Enigma,Weaver,Vengeful Spirit,Juggernaut,Dire,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Dire,1st Pick,Warlock,Luna,Earthshaker,Alchemist,Axe,Digital Chaos,Team NP,Sand King,Rubick,Sven,Elder Titan,Timbersaw,Radiant,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Radiant,2nd Pick,Keeper of the Light,Naga Siren,Legion Commander,Rubick,Templar Assassin,Digital Chaos,Team NP,Warlock,Venomancer,Omniknight,Drow Ranger,Outworld Devourer,Dire,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Radiant,2nd Pick,Luna,Legion Commander,Rubick,Undying,Pugna,WarriorsGaming.Unity,OG,Shadow Demon,Alchemist,Batrider,Juggernaut,Lina,Dire,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Dire,1st Pick,Shadow Demon,Elder Titan,Lifestealer,Sand King,Dragon Knight,WarriorsGaming.Unity,OG,Warlock,Legion Commander,Ogre Magi,Sven,Alchemist,Radiant,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Dire,1st Pick,Outworld Devourer,Legion Commander,Earth Spirit,Juggernaut,Oracle,WarriorsGaming.Unity,OG,Invoker,Rubick,Keeper of the Light,Sand King,Morphling,Radiant,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Dire,2nd Pick,Ogre Magi,Sniper,Slardar,Bloodseeker,Doom,Virtus Pro,Evil Geniuses,Shadow Demon,Mirana,Timbersaw,Alchemist,Chen,Radiant,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Radiant,2nd Pick,Slardar,Lifestealer,Weaver,Dragon Knight,Ancient Apparition,Virtus Pro,Evil Geniuses,Io,Treant Protector,Clockwerk,Ursa,Morphling,Dire,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Dire,2nd Pick,Batrider,Luna,Warlock,Timbersaw,Sand King,Newbee,Ad Finem,Shadow Demon,Nyx Assassin,Alchemist,Mirana,Weaver,Radiant,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Dire,1st Pick,Ogre Magi,Sand King,Oracle,Slark,Dragon Knight,Newbee,Ad Finem,Batrider,Rubick,Bounty Hunter,Puck,Morphling,Radiant,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Dire,2nd Pick,Rubick,Juggernaut,Sand King,Outworld Devourer,Omniknight,Newbee,Ad Finem,Bounty Hunter,Dark Seer,Bane,Luna,Templar Assassin,Radiant,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Radiant,2nd Pick,Nyx Assassin,Ogre Magi,Weaver,Oracle,Timbersaw,LGD,LGD.Forever Young,Batrider,Lifestealer,Disruptor,Dragon Knight,Slardar,Dire,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Radiant,2nd Pick,Nyx Assassin,Ogre Magi,Lifestealer,Io,Shadow Fiend,LGD,LGD.Forever Young,Batrider,Silencer,Juggernaut,Sand King,Dragon Knight,Dire,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Radiant,2nd Pick,Shadow Demon,Luna,Dark Seer,Dragon Knight,Enchantress,EHOME,Team NP,Warlock,Mirana,Sand King,Naga Siren,Disruptor,Dire,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Dire,1st Pick,Omniknight,Ogre Magi,Night Stalker,Slark,Leshrac,EHOME,Team NP,Warlock,Mirana,Beastmaster,Luna,Sand King,Radiant,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Radiant,1st Pick,Omniknight,Batrider,Bane,Timbersaw,Lycan,EHOME,Team NP,Ogre Magi,Juggernaut,Weaver,Beastmaster,Silencer,Dire,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Radiant,1st Pick,Shadow Demon,Mirana,Juggernaut,Dark Seer,Dragon Knight,Digital Chaos,Team Faceless,Rubick,Luna,Enchantress,Centaur Warrunner,Sniper,Dire,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Radiant,2nd Pick,Rubick,Luna,Invoker,Undying,Legion Commander,Digital Chaos,Team Faceless,Shadow Demon,Tidehunter,Chen,Dragon Knight,Terrorblade,Dire,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Dire,2nd Pick,Leshrac,Lifestealer,Mirana,Abaddon,Nyx Assassin,compLexity,Evil Geniuses,Batrider,Ogre Magi,Sven,Medusa,Oracle,Radiant,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Dire,2nd Pick,Batrider,Treant Protector,Mirana,Weaver,Rubick,compLexity,Evil Geniuses,Ogre Magi,Juggernaut,Jakiro,Sand King,Slark,Radiant,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Dire,2nd Pick,Keeper of the Light,Mirana,Faceless Void,Spirit Breaker,Dark Seer,compLexity,Evil Geniuses,Ogre Magi,Batrider,Disruptor,Naga Siren,Ursa,Radiant,1st Pick,Boston Major 
,,,,,,,,,,,,,,,,,
1,Radiant,1st Pick,Io,Outworld Devourer,Sand King,Anti-Mage,Keeper of the Light,Evil Geniuses,Team Faceless,Warlock,Timbersaw,Rubick,Weaver,Tinker,Dire,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Radiant,1st Pick,Io,Lifestealer,Sand King,Templar Assassin,Lion,Evil Geniuses,Team Faceless,Warlock,Nyx Assassin,Undying,Anti-Mage,Magnus,Dire,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Dire,1st Pick,Ogre Magi,Sniper,Rubick,Juggernaut,Nyx Assassin,Ad Finem,EHOME,Batrider,Omniknight,Dragon Knight,Weaver,Drow Ranger,Radiant,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Dire,1st Pick,Shadow Demon,Dark Seer,Dazzle,Timbersaw,Slark,Ad Finem,EHOME,Ogre Magi,Luna,Nyx Assassin,Alchemist,Ancient Apparition,Radiant,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Dire,1st Pick,Ogre Magi,Sniper,Slardar,Faceless Void,Disruptor,Ad Finem,EHOME,Shadow Demon,Luna,Clockwerk,Mirana,Elder Titan,Radiant,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Dire,1st Pick,Batrider,Ancient Apparition,Rubick,Ursa,Terrorblade,iG Vitality,EHOME,Ogre Magi,Alchemist,Omniknight,Night Stalker,Queen of Pain,Radiant,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Radiant,2nd Pick,Sand King,Jakiro,Witch Doctor,Mirana,Faceless Void,iG Vitality,EHOME,Ogre Magi,Rubick,Alchemist,Pugna,Clockwerk,Dire,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Dire,1st Pick,Batrider,Silencer,Slark,Omniknight,Axe,iG Vitality,EHOME,Ogre Magi,Nyx Assassin,Bristleback,Dark Seer,Terrorblade,Radiant,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Dire,1st Pick,Ogre Magi,Juggernaut,Outworld Devourer,Pudge,Clockwerk,compLexity,LGD,Sand King,Jakiro,Rubick,Luna,Shadow Demon,Radiant,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Dire,1st Pick,Leshrac,Kunkka,Timbersaw,Sniper,Bounty Hunter,compLexity,LGD,Nyx Assassin,Ogre Magi,Rubick,Outworld Devourer,Slark,Radiant,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Radiant,2nd Pick,Luna,Warlock,Nyx Assassin,Rubick,Alchemist,OG,Ad Finem,Shadow Demon,Batrider,Clockwerk,Puck,Juggernaut,Dire,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Dire,1st Pick,Shadow Demon,Batrider,Earth Spirit,Anti-Mage,Dragon Knight,OG,Ad Finem,Luna,Dark Seer,Rubick,Earthshaker,Timbersaw,Radiant,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Dire,2nd Pick,Drow Ranger,Mirana,Dazzle,Brewmaster,Dragon Knight,OG,Ad Finem,Ogre Magi,Dark Seer,Clockwerk,Lifestealer,Storm Spirit,Radiant,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Radiant,1st Pick,Ogre Magi,Io,Juggernaut,Sven,Brewmaster,Evil Geniuses,compLexity,Treant Protector,Outworld Devourer,Mirana,Spirit Breaker,Weaver,Dire,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Radiant,1st Pick,Io,Lifestealer,Dark Seer,Earth Spirit,Invoker,Evil Geniuses,compLexity,Leshrac,Slardar,Slark,Outworld Devourer,Undying,Dire,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Radiant,2nd Pick,Io,Lifestealer,Spirit Breaker,Dark Seer,Alchemist,Evil Geniuses,compLexity,Leshrac,Slardar,Slark,Abaddon,Mirana,Dire,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Radiant,2nd Pick,Shadow Demon,Luna,Slardar,Earth Spirit,Dragon Knight,OG,iG Vitality,Rubick,Juggernaut,Bounty Hunter,Beastmaster,Invoker,Dire,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Dire,2nd Pick,Warlock,Invoker,Beastmaster,Ogre Magi,Ursa,OG,iG Vitality,Rubick,Juggernaut,Bounty Hunter,Tidehunter,Timbersaw,Radiant,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Dire,2nd Pick,Shadow Demon,Luna,Mirana,Clockwerk,Timbersaw,OG,iG Vitality,Warlock,Slardar,Jakiro,Lifestealer,Legion Commander,Radiant,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Dire,1st Pick,Ogre Magi,Outworld Devourer,Keeper of the Light,Omniknight,Slark,Team Faceless,LGD,Warlock,Legion Commander,Luna,Io,Shadow Fiend,Radiant,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Dire,1st Pick,Batrider,Ogre Magi,Drow Ranger,Medusa,Weaver,Team Faceless,LGD,Oracle,Outworld Devourer,Slardar,Riki,Phantom Assassin,Radiant,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Dire,1st Pick,Clockwerk,Ogre Magi,Enigma,Outworld Devourer,Timbersaw,EHOME,Ad Finem,Shadow Demon,Luna,Legion Commander,Bounty Hunter,Invoker,Radiant,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Radiant,2nd Pick,Shadow Demon,Luna,Sand King,Lifestealer,Riki,EHOME,Ad Finem,Ogre Magi,Clockwerk,Rubick,Faceless Void,Sniper,Dire,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Radiant,2nd Pick,Ogre Magi,Luna,Chen,Nyx Assassin,Storm Spirit,EHOME,Ad Finem,Shadow Demon,Clockwerk,Mirana,Doom,Clinkz,Dire,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Radiant,1st Pick,Elder Titan,Drow Ranger,Dazzle,Puck,Sniper,WarriorsGaming.Unity,Wings / Team Random,Shadow Demon,Luna,Sand King,Slardar,Alchemist,Dire,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Dire,1st Pick,Elder Titan,Phantom Assassin,Sand King,Rubick,Templar Assassin,WarriorsGaming.Unity,Wings / Team Random,Drow Ranger,Io,Puck,Mirana,Dazzle,Radiant,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Radiant,2nd Pick,Timbersaw,Rubick,Juggernaut,Pudge,Alchemist,Digital Chaos,LGD.Forever Young,Sand King,Pugna,Ursa,Disruptor,Razor,Dire,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Radiant,2nd Pick,Warlock,Juggernaut,Magnus,Dark Seer,Phantom Assassin,Digital Chaos,LGD.Forever Young,Ogre Magi,Slardar,Rubick,Sniper,Ursa,Dire,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Radiant,2nd Pick,Luna,Ogre Magi,Sand King,Rubick,Templar Assassin,Virtus Pro,Team NP,Shadow Demon,Clockwerk,Elder Titan,Sven,Queen of Pain,Dire,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Radiant,2nd Pick,Ogre Magi,Lifestealer,Sand King,Io,Shadow Fiend,Virtus Pro,Team NP,Drow Ranger,Omniknight,Rubick,Outworld Devourer,Undying,Dire,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Dire,2nd Pick,Ogre Magi,Drow Ranger,Batrider,Io,Medusa,Newbee,Team NP,Shadow Demon,Luna,Omniknight,Pudge,Razor,Radiant,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Dire,2nd Pick,Ogre Magi,Drow Ranger,Silencer,Batrider,Morphling,Newbee,Team NP,Shadow Demon,Luna,Slardar,Dark Seer,Alchemist,Radiant,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Radiant,2nd Pick,Ogre Magi,Juggernaut,Keeper of the Light,Timbersaw,Bloodseeker,Wings / Team Random,LGD.Forever Young,Rubick,Outworld Devourer,Slardar,Lifestealer,Mirana,Dire,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Radiant,2nd Pick,Shadow Demon,Mirana,Timbersaw,Nyx Assassin,Clinkz,Wings / Team Random,LGD.Forever Young,Rubick,Sand King,Invoker,Anti-Mage,Leshrac,Dire,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Dire,1st Pick,Io,Bristleback,Rubick,Slark,Ursa,MVPPhoenix,Team NP,Shadow Demon,Luna,Slardar,Timbersaw,Invoker,Radiant,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Radiant,1st Pick,Warlock,Omniknight,Slark,Weaver,Sniper,MVPPhoenix,Team NP,Drow Ranger,Venomancer,Witch Doctor,Undying,Queen of Pain,Dire,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Radiant,2nd Pick,Ogre Magi,Lifestealer,Rubick,Timbersaw,Phantom Assassin,MVPPhoenix,Team NP,Warlock,Omniknight,Mirana,Drow Ranger,Venomancer,Dire,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Radiant,1st Pick,Keeper of the Light,Slardar,Weaver,Earth Spirit,Bristleback,WarriorsGaming.Unity,Digital Chaos,Juggernaut,Ogre Magi,Rubick,Nyx Assassin,Morphling,Dire,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Radiant,2nd Pick,Clockwerk,Lifestealer,Shadow Fiend,Lion,Beastmaster,WarriorsGaming.Unity,Digital Chaos,Sand King,Naga Siren,Winter Wyvern,Undying,Windranger,Dire,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Dire,1st Pick,Ogre Magi,Axe,Phantom Assassin,Winter Wyvern,Dragon Knight,Newbee,Virtus Pro,Drow Ranger,Io,Disruptor,Sand King,Outworld Devourer,Radiant,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Dire,2nd Pick,Lifestealer,Nyx Assassin,Undying,Disruptor,Storm Spirit,Newbee,Virtus Pro,Batrider,Drow Ranger,Witch Doctor,Weaver,Dragon Knight,Radiant,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Dire,2nd Pick,Rubick,Sand King,Ogre Magi,Drow Ranger,Morphling,Newbee,MVPPhoenix,Axe,Naga Siren,Witch Doctor,Undying,Vengeful Spirit,Radiant,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Dire,2nd Pick,Slardar,Rubick,Juggernaut,Treant Protector,Templar Assassin,Newbee,MVPPhoenix,Ogre Magi,Nature's Prophet,Drow Ranger,Disruptor,Visage,Radiant,1st Pick,Boston Major
,,,,,,,,,,,,,,,,,
2,Dire,1st Pick,Drow Ranger,Disruptor,Centaur Warrunner,Medusa,Chen,Wings / Team Random,WarriorsGaming.Unity,Axe,Rubick,Phantom Assassin,Omniknight,Outworld Devourer,Radiant,2nd Pick,Boston Major
,,,,,,,,,,,,,,,,,
1,Radiant,2nd Pick,Warlock,Axe,Invoker,Earthshaker,Pugna,Wings / Team Random,WarriorsGaming.Unity,Shadow Demon,Luna,Earth Spirit,Tinker,Sand King,Dire,1st Pick,Boston Major